date,location,fuel_type,price_usd_mt,source
2019-01-01,SGP_SIN,VLSFO,629.74,BUNKERWORLD_HISTORICAL
2019-01-01,SGP_SIN,MGO,806.61,BUNKERWORLD_HISTORICAL
2019-01-01,LKA_CMB,VLSFO,645.49,BUNKERWORLD_HISTORICAL
2019-01-01,LKA_CMB,MGO,826.78,BUNKERWORLD_HISTORICAL
2019-01-01,ARE_FUJ,VLSFO,623.45,BUNKERWORLD_HISTORICAL
2019-01-01,ARE_FUJ,MGO,798.54,BUNKERWORLD_HISTORICAL
2019-01-02,SGP_SIN,VLSFO,621.92,BUNKERWORLD_HISTORICAL
2019-01-02,SGP_SIN,MGO,793.81,BUNKERWORLD_HISTORICAL
2019-01-02,LKA_CMB,VLSFO,637.47,BUNKERWORLD_HISTORICAL
2019-01-02,LKA_CMB,MGO,813.66,BUNKERWORLD_HISTORICAL
2019-01-02,ARE_FUJ,VLSFO,615.7,BUNKERWORLD_HISTORICAL
2019-01-02,ARE_FUJ,MGO,785.88,BUNKERWORLD_HISTORICAL
2019-01-03,SGP_SIN,VLSFO,613.73,BUNKERWORLD_HISTORICAL
2019-01-03,SGP_SIN,MGO,787.17,BUNKERWORLD_HISTORICAL
2019-01-03,LKA_CMB,VLSFO,629.08,BUNKERWORLD_HISTORICAL
2019-01-03,LKA_CMB,MGO,806.85,BUNKERWORLD_HISTORICAL
2019-01-03,ARE_FUJ,VLSFO,607.6,BUNKERWORLD_HISTORICAL
2019-01-03,ARE_FUJ,MGO,779.29,BUNKERWORLD_HISTORICAL
2019-01-04,SGP_SIN,VLSFO,620.24,BUNKERWORLD_HISTORICAL
2019-01-04,SGP_SIN,MGO,801.25,BUNKERWORLD_HISTORICAL
2019-01-04,LKA_CMB,VLSFO,635.75,BUNKERWORLD_HISTORICAL
2019-01-04,LKA_CMB,MGO,821.28,BUNKERWORLD_HISTORICAL
2019-01-04,ARE_FUJ,VLSFO,614.04,BUNKERWORLD_HISTORICAL
2019-01-04,ARE_FUJ,MGO,793.24,BUNKERWORLD_HISTORICAL
2019-01-05,SGP_SIN,VLSFO,615.16,BUNKERWORLD_HISTORICAL
2019-01-05,SGP_SIN,MGO,791.47,BUNKERWORLD_HISTORICAL
2019-01-05,LKA_CMB,VLSFO,630.54,BUNKERWORLD_HISTORICAL
2019-01-05,LKA_CMB,MGO,811.26,BUNKERWORLD_HISTORICAL
2019-01-05,ARE_FUJ,VLSFO,609.01,BUNKERWORLD_HISTORICAL
2019-01-05,ARE_FUJ,MGO,783.55,BUNKERWORLD_HISTORICAL
2019-01-06,SGP_SIN,VLSFO,605.32,BUNKERWORLD_HISTORICAL
2019-01-06,SGP_SIN,MGO,768.94,BUNKERWORLD_HISTORICAL
2019-01-06,LKA_CMB,VLSFO,620.46,BUNKERWORLD_HISTORICAL
2019-01-06,LKA_CMB,MGO,788.16,BUNKERWORLD_HISTORICAL
2019-01-06,ARE_FUJ,VLSFO,599.27,BUNKERWORLD_HISTORICAL
2019-01-06,ARE_FUJ,MGO,761.25,BUNKERWORLD_HISTORICAL
2019-01-07,SGP_SIN,VLSFO,599.58,BUNKERWORLD_HISTORICAL
2019-01-07,SGP_SIN,MGO,765.45,BUNKERWORLD_HISTORICAL
2019-01-07,LKA_CMB,VLSFO,614.57,BUNKERWORLD_HISTORICAL
2019-01-07,LKA_CMB,MGO,784.59,BUNKERWORLD_HISTORICAL
2019-01-07,ARE_FUJ,VLSFO,593.58,BUNKERWORLD_HISTORICAL
2019-01-07,ARE_FUJ,MGO,757.8,BUNKERWORLD_HISTORICAL
2019-01-08,SGP_SIN,VLSFO,608.07,BUNKERWORLD_HISTORICAL
2019-01-08,SGP_SIN,MGO,777.92,BUNKERWORLD_HISTORICAL
2019-01-08,LKA_CMB,VLSFO,623.27,BUNKERWORLD_HISTORICAL
