date,indicator_name,value,unit,source
2019-01-01,USD_INR,83.1,INR,RBI_REFERENCE
2019-01-01,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-02,USD_INR,83.004,INR,RBI_REFERENCE
2019-01-02,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-03,USD_INR,83.008,INR,RBI_REFERENCE
2019-01-03,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-04,USD_INR,83.087,INR,RBI_REFERENCE
2019-01-04,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-05,USD_INR,83.093,INR,RBI_REFERENCE
2019-01-05,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-06,USD_INR,83.125,INR,RBI_REFERENCE
2019-01-06,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-07,USD_INR,83.096,INR,RBI_REFERENCE
2019-01-07,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-08,USD_INR,83.021,INR,RBI_REFERENCE
2019-01-08,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-09,USD_INR,82.988,INR,RBI_REFERENCE
2019-01-09,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-10,USD_INR,82.948,INR,RBI_REFERENCE
2019-01-10,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-11,USD_INR,82.987,INR,RBI_REFERENCE
2019-01-11,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-12,USD_INR,82.985,INR,RBI_REFERENCE
2019-01-12,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-13,USD_INR,82.991,INR,RBI_REFERENCE
2019-01-13,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-14,USD_INR,83.04,INR,RBI_REFERENCE
2019-01-14,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
2019-01-15,USD_INR,82.971,INR,RBI_REFERENCE
2019-01-15,INDIA_MANUFACTURING_PMI,57.2,index_points,S_AND_P_GLOBAL
